,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
433,000300.SH,20170320,3449.6126,3449.0515,3454.063,3429.8254,3445.8051,3.8075,0.1105,88734322.0,103769403.897
434,000300.SH,20170317,3445.8051,3485.3114,3488.4969,3441.4685,3481.5066,-35.7015,-1.0255,103755560.0,122368918.55
435,000300.SH,20170316,3481.5066,3472.2694,3492.1267,3472.2694,3463.6436,17.863,0.5157,106333913.0,124695573.677
436,000300.SH,20170315,3463.6436,3452.2139,3463.9191,3445.2676,3456.6934,6.9502,0.2011,79104954.0,94056256.667
437,000300.SH,20170314,3456.6934,3456.6584,3465.3915,3448.9034,3458.098,-1.4046,-0.0406,77077963.0,95317564.129
438,000300.SH,20170313,3458.098,3425.6723,3458.098,3412.6879,3427.8916,30.2064,0.8812,91684124.0,108489140.923
439,000300.SH,20170310,3427.8916,3423.9776,3436.2388,3423.9369,3426.9438,0.9478,0.0277,70016199.0,82161714.923
440,000300.SH,20170309,3426.9438,3442.8953,3443.0455,3414.6782,3448.7313,-21.7875,-0.6318,84570381.0,90090049.49
441,000300.SH,20170308,3448.7313,3452.2006,3457.0351,3441.2575,3453.9565,-5.2252,-0.1513,79587690.0,89124904.682
442,000300.SH,20170307,3453.9565,3446.1628,3454.0386,3440.0574,3446.484,7.4725,0.2168,80334720.0,94483824.245
443,000300.SH,20170306,3446.484,3427.2533,3449.0342,3425.9041,3427.8628,18.6212,0.5432,83070882.0,95178548.496
444,000300.SH,20170303,3427.8628,3424.6627,3428.8824,3412.8312,3435.0963,-7.2335,-0.2106,80994652.0,90009618.835
445,000300.SH,20170302,3435.0963,3463.4829,3468.471,3434.001,3458.4376,-23.3413,-0.6749,89898077.0,97876187.925
446,000300.SH,20170301,3458.4376,3452.2058,3472.6962,3449.109,3452.8103,5.6273,0.163,103260354.0,109317781.348
447,000300.SH,20170228,3452.8103,3445.0274,3460.9089,3441.3589,3446.2228,6.5875,0.1912,75215260.0,81979307.361
448,000300.SH,20170227,3446.2228,3471.1319,3472.8356,3441.3938,3473.8517,-27.6289,-0.7953,98672160.0,106830874.529
449,000300.SH,20170224,3473.8517,3468.9588,3473.8517,3455.2514,3473.3236,0.5281,0.0152,95535133.0,99875164.759
450,000300.SH,20170223,3473.3236,3487.5745,3492.9616,3460.118,3489.7567,-16.4331,-0.4709,99536330.0,106555922.466
451,000300.SH,20170222,3489.7567,3483.2008,3489.946,3473.524,3482.823,6.9337,0.1991,102815994.0,109232425.841
452,000300.SH,20170221,3482.823,3475.0584,3490.0855,3472.017,3471.3926,11.4304,0.3293,114842009.0,120675429.543
453,000300.SH,20170220,3471.3926,3421.6434,3472.6035,3421.6434,3421.4419,49.9507,1.4599,132628862.0,134681505.159
454,000300.SH,20170217,3421.4419,3443.6166,3457.5562,3419.6143,3440.9331,-19.4912,-0.5665,114600036.0,118033129.67
455,000300.SH,20170216,3440.9331,3421.8299,3440.9331,3418.3514,3421.7131,19.22,0.5617,108276962.0,101809767.504
456,000300.SH,20170215,3421.7131,3435.3882,3448.0322,3417.0811,3435.8042,-14.0911,-0.4101,127643338.0,124653179.488
457,000300.SH,20170214,3435.8042,3438.511,3440.6748,3424.4028,3436.275,-0.4708,-0.0137,94809465.0,98537165.438
458,000300.SH,20170213,3436.275,3416.9168,3439.5432,3416.8746,3413.4868,22.7882,0.6676,120144538.0,125332998.844
459,000300.SH,20170210,3413.4868,3398.3173,3422.3256,3398.0295,3396.2924,17.1944,0.5063,123768720.0,121908580.284
460,000300.SH,20170209,3396.2924,3381.8992,3406.5888,3379.7872,3383.2878,13.0046,0.3844,97558515.0,102134228.699
461,000300.SH,20170208,3383.2878,3361.7811,3383.6859,3347.4302,3365.6849,17.6029,0.523,75402879.0,82869735.773
462,000300.SH,20170207,3365.6849,3371.7695,3376.7099,3354.6251,3373.2051,-7.5202,-0.2229,63754462.0,69758178.999
463,000300.SH,20170206,3373.2051,3368.1081,3381.3348,3358.7516,3364.4923,8.7128,0.259,68521360.0,73408134.768
464,000300.SH,20170203,3364.4923,3390.9315,3392.4773,3362.5653,3387.9606,-23.4683,-0.6927,55188861.0,57113853.255
465,000300.SH,20170126,3387.9606,3378.2609,3395.8848,3378.2609,3375.9042,12.0564,0.3571,65316647.0,66488818.305
466,000300.SH,20170125,3375.9042,3361.6561,3376.4415,3357.2183,3364.4509,11.4533,0.3404,58376931.0,62483395.802
467,000300.SH,20170124,3364.4509,3363.1374,3371.32,3355.899,3364.0808,0.3701,0.011,66194226.0,66049651.289
468,000300.SH,20170123,3364.0808,3359.0543,3378.7388,3355.8475,3354.8891,9.1917,0.274,75557498.0,76492660.154
469,000300.SH,20170120,3354.8891,3326.9773,3358.4121,3326.374,3329.2891,25.6,0.7689,65300462.0,70831324.31
470,000300.SH,20170119,3329.2891,3330.9522,3346.4959,3324.6835,3339.3653,-10.0762,-0.3017,66159808.0,63869709.163
471,000300.SH,20170118,3339.3653,3323.3389,3350.9619,3320.4062,3326.3563,13.009,0.3911,70623227.0,75680677.264
472,000300.SH,20170117,3326.3563,3305.6001,3327.3767,3292.2044,3319.4455,6.9108,0.2082,69453328.0,74754505.696
473,000300.SH,20170116,3319.4455,3314.1507,3322.7819,3264.2071,3319.9122,-0.4667,-0.0141,157779135.0,153262520.121
474,000300.SH,20170113,3319.9122,3317.9625,3338.174,3309.3741,3317.6241,2.2881,0.069,84180589.0,84556101.403
475,000300.SH,20170112,3317.6241,3332.6857,3343.1279,3315.9629,3334.4954,-16.8713,-0.506,81239135.0,75031886.874
476,000300.SH,20170111,3334.4954,3355.8008,3366.6315,3334.2978,3358.2716,-23.7762,-0.708,91071438.0,86750457.122
477,000300.SH,20170110,3358.2716,3361.6394,3370.5051,3354.0878,3363.9014,-5.6298,-0.1674,83819160.0,82533965.08
478,000300.SH,20170109,3363.9014,3345.7483,3366.2219,3344.3472,3347.6665,16.2349,0.485,83707942.0,87916115.243
479,000300.SH,20170106,3347.6665,3366.8522,3368.8705,3346.8914,3367.7892,-20.1227,-0.5975,87459114.0,91072256.748
480,000300.SH,20170105,3367.7892,3368.3402,3373.4119,3361.462,3368.3117,-0.5225,-0.0155,88336357.0,91189339.582
481,000300.SH,20170104,3368.3117,3340.5576,3369.5658,3338.1527,3342.2272,26.0845,0.7805,90050827.0,98014355.468
482,000300.SH,20170103,3342.2272,3313.9534,3345.2629,3313.9534,3310.0808,32.1464,0.9712,86567896.0,87612765.768
