,date,date_str,open,high,low,close,long_high,short_low,long_wave,short_wave,state,key_prices
0,733924.0,20100601,983.0289,997.5785,946.2537,973.3092,997.5785,946.2537,51.32479999999998,51.32479999999998,0,0.0
1,733925.0,20100602,965.5939,1001.9685,954.0445,1001.9685,997.5785,946.2537,51.32479999999998,51.32479999999998,0,0.0
2,733926.0,20100603,1012.5137,1037.8004,1006.3373,1010.7145,1001.9685,946.2537,50.47459999999998,50.19119999999998,0,0.0
3,733927.0,20100604,998.9619,1047.7395,998.9619,1047.7395,1037.8004,946.2537,45.509175,46.67229999999999,0,0.0
4,733930.0,20100607,1022.2449,1102.5458,1022.2449,1096.598,1047.7395,946.2537,47.63769999999998,46.16285999999998,0,0.0
5,733931.0,20100608,1092.4945,1103.6957,1074.6704,1092.2068,1102.5458,946.2537,51.77714285714285,51.64143999999999,0,0.0
6,733932.0,20100609,1100.005,1129.8208,1089.2601,1101.0092,1103.6957,946.2537,48.591499999999996,49.41148999999999,0,0.0
7,733933.0,20100610,1098.9918,1144.8046,1098.9918,1143.4916,1129.8208,946.2537,49.1892857142857,48.10835999999999,0,0.0
8,733934.0,20100611,1149.8368,1150.2872,1139.4308,1143.9087,1144.8046,946.2537,48.795571428571414,47.78387999999999,0,0.0
9,733940.0,20100617,1150.5492,1150.5492,1085.4452,1085.4452,1150.2872,946.2537,45.72278571428569,43.73703999999998,0,0.0
10,733941.0,20100618,1065.454,1070.1281,1009.2822,1016.8056,1150.5492,946.2537,45.64299464285711,48.219879999999975,0,0.0
11,733944.0,20100621,1006.4273,1060.758,987.9834,1056.5384,1150.5492,946.2537,47.569278571428534,48.69593499999997,0,0.0
12,733945.0,20100622,1049.4854,1074.2951,1047.4958,1048.2012,1150.5492,946.2537,49.10140714285711,49.37166499999997,0,0.0
13,733946.0,20100623,1037.9508,1070.8436,1037.7824,1060.6885,1150.5492,946.2537,47.349585714285695,47.379024999999984,0,0.0
14,733947.0,20100624,1061.0948,1071.7158,1052.4837,1062.7679,1150.5492,946.2537,48.68492142857141,46.33848499999998,0,0.0
15,733948.0,20100625,1052.4231,1057.0725,1009.0902,1028.9356,1150.5492,946.2537,47.53875357142855,46.02433499999997,0,0.0
16,733951.0,20100628,1019.6751,1027.4478,995.5352,999.8911,1150.5492,946.2537,47.115735714285684,45.857209999999974,0,0.0
17,733952.0,20100629,1001.5989999999999,1004.5202,924.0745,924.5803,1150.5492,946.2537,44.649076785714264,44.77323999999997,0,0.0
18,733953.0,20100630,908.7252,940.8797,892.4806,938.3074,1150.5492,924.0745,46.84434285714284,46.342644999999976,0,0.0
19,733954.0,20100701,930.8699,939.5145,897.6728,897.8439999999999,1150.5492,892.4806,47.77471428571427,46.19635999999998,0,0.0
20,733955.0,20100702,894.5272,900.2696,844.7518,887.6237,1150.5492,892.4806,46.63962142857141,45.722204999999974,0,0.0
21,733958.0,20100705,863.3201,882.6216,853.6199,873.1713,1150.5492,844.7518,47.4726964285714,45.93185499999997,0,0.0
22,733959.0,20100706,868.0897,912.9468,868.0897,909.0782,1150.5492,844.7518,46.67544285714283,44.98573999999997,0,0.0
23,733960.0,20100707,912.8085,925.8296,907.3392,925.8296,1150.5492,844.7518,46.35336071428569,45.65543999999997,0,0.0
24,733961.0,20100708,931.8614,931.8614,902.1396,919.0471,1150.5492,844.7518,44.64869374999997,44.141079999999974,0,0.0
25,733962.0,20100709,917.7654,951.1212,909.3407,946.9557,1150.5492,844.7518,44.50026071428569,41.61212499999998,0,0.0
26,733965.0,20100712,946.0593,956.5263,938.0276,945.8059,1150.5492,844.7518,44.15939285714284,42.24988499999998,0,0.0
27,733966.0,20100713,933.1042,956.422,922.9339,950.2094,1150.5492,844.7518,42.987032142857124,41.14678499999998,0,0.0
28,733967.0,20100714,949.9522,957.3893,933.4831,940.3615,1150.5492,844.7518,46.755814545454534,40.530549999999984,0,0.0
29,733968.0,20100715,934.4299,944.9906,906.0974,906.0974,1150.5492,844.7518,46.257294545454535,41.18303999999999,0,0.0
30,733969.0,20100716,895.2334,909.0667,881.8805,905.7074,1150.5492,844.7518,45.67572727272726,39.872499999999995,0,0.0
31,733972.0,20100719,890.8924,925.1533,890.8924,923.0603,1150.5492,844.7518,43.16039318181817,38.189515,0,0.0
32,733973.0,20100720,925.3584,953.3869,925.3176,952.5526,1150.5492,844.7518,43.94136545454543,36.26383,0,0.0
33,733974.0,20100721,956.6678,973.1479,952.4894,955.2072,1150.5492,844.7518,45.023790129870115,36.32732999999999,0,0.0
34,733975.0,20100722,950.2945,965.3088,944.8273,965.3088,1150.5492,844.7518,43.307805454545445,35.707195,0,0.0
35,733976.0,20100723,968.5053,981.1853,963.9808,976.7526,1150.5492,844.7518,43.236187532467525,35.769664999999996,0,0.0
36,733979.0,20100726,981.3787,983.4830000000001,969.7872,981.8697,1150.5492,844.7518,42.522758701298685,34.230774999999994,0,0.0
37,733980.0,20100727,976.3486,985.9181,972.3504,973.1579,1150.5492,844.7518,41.0659257142857,33.319935,0,0.0
38,733981.0,20100728,969.5555,988.7161,969.5555,988.7161,1150.5492,844.7518,40.089731915584395,29.976034999999996,0,0.0
39,733982.0,20100729,992.4359,997.072,980.0867,989.3849,1150.5492,844.7518,40.27744766233764,28.514109999999995,0,0.0
40,733983.0,20100730,984.4697,986.2041,970.0878,982.9426,1150.5492,844.7518,40.01523259740258,27.27129,0,0.0
41,733986.0,20100802,983.5405,1012.1410000000001,983.2180000000001,1012.1410000000001,1150.5492,853.6199,38.96101116883115,25.301215000000003,0,0.0
42,733987.0,20100803,1014.4422,1016.7627,994.6778,994.6778,1150.5492,868.0897,39.493301818181806,25.297280000000008,0,0.0
43,733988.0,20100804,990.6615,995.7027,970.595,994.2674,1150.5492,881.8805,38.96166727272726,24.15867,0,0.0
44,733989.0,20100805,996.303,1016.8373,995.3923,1006.4351,1150.5492,881.8805,38.345869090909076,24.489535,0,0.0
45,733990.0,20100806,1007.7483,1030.4098,1004.3380000000001,1030.4098,1150.5492,881.8805,36.9900759090909,24.075695000000003,0,0.0
46,733993.0,20100809,1032.6196,1052.7716,1032.6196,1052.7716,1150.5492,881.8805,37.080349090909074,23.29025999999999,0,0.0
47,733994.0,20100810,1053.1678,1053.5581,1010.1145,1010.1145,1150.5492,881.8805,36.96514649350648,23.37292499999999,0,0.0
48,733995.0,20100811,1006.6525,1021.9705,1005.0364,1019.0122,1150.5492,881.8805,36.47432727272726,23.87069999999999,0,0.0
49,733996.0,20100812,1002.9716,1020.9353,1001.2621,1003.5686,1150.5492,881.8805,36.14721999999999,23.52209499999999,0,0.0
50,733997.0,20100813,1007.0924,1019.0287,996.2332,1019.0287,1150.5492,881.8805,35.571736363636354,22.561094999999987,0,0.0
51,734000.0,20100816,1016.3086,1046.5371,1016.1981,1045.8977,1150.5492,890.8924,34.99118909090908,22.341559999999987,0,0.0
52,734001.0,20100817,1048.0348,1050.3466,1036.0446,1046.2607,1150.5492,925.3176,34.671461818181804,22.14546499999999,0,0.0
53,734002.0,20100818,1047.2898,1048.7363,1030.7508,1037.6623,1150.5492,944.8273,33.99831999999999,21.457099999999997,0,0.0
54,734003.0,20100819,1039.1633,1041.5125,1029.1954,1033.404,1150.5492,944.8273,33.3921509090909,21.323449999999998,0,0.0
55,734004.0,20100820,1026.9998,1030.285,999.9936,1002.0316,1150.5492,963.9808,32.68291999999999,20.915229999999998,0,0.0
56,734007.0,20100823,1002.3891,1006.9118,996.084,1002.1395,1150.5492,969.5555,32.300494545454534,21.569575000000004,0,0.0
